X [s],L_Quad: EMG 1 [Volts],L_Hamstrings: EMG 2 [Volts],L_AnteriorTibialis: EMG 3 [Volts],L_Calf: EMG 4 [Volts],R_Quad: EMG 5 [Volts],R_Hamstrings: EMG 6 [Volts],R_AnteriorTibialis: EMG 7 [Volts],R_Calf: EMG 8 [Volts],L_Quad: Acc 1.X [g],L_Quad: Acc 1.Y [g],L_Quad: Acc 1.Z [g],L_Hamstrings: Acc 2.X [g],L_Hamstrings: Acc 2.Y [g],L_Hamstrings: Acc 2.Z [g],L_AnteriorTibialis: Acc 3.X [g],L_AnteriorTibialis: Acc 3.Y [g],L_AnteriorTibialis: Acc 3.Z [g],L_Calf: Acc 4.X [g],L_Calf: Acc 4.Y [g],L_Calf: Acc 4.Z [g],R_Quad: Acc 5.X [g],R_Quad: Acc 5.Y [g],R_Quad: Acc 5.Z [g],R_Hamstrings: Acc 6.X [g],R_Hamstrings: Acc 6.Y [g],R_Hamstrings: Acc 6.Z [g],R_AnteriorTibialis: Acc 7.X [g],R_AnteriorTibialis: Acc 7.Y [g],R_AnteriorTibialis: Acc 7.Z [g],R_Calf: Acc 8.X [g],R_Calf: Acc 8.Y [g],R_Calf: Acc 8.Z [g]
54.21,-1.35958e-05,-2.8635060000001908e-05,-3.0045020000002384e-05,-1.712060800008587e-06,-1.3092200000009542e-06,5.371176000002385e-06,2.9205799999980915e-06,-8.426033999996661e-06,-1.9140804477612052,0.8780072238805868,1.9965752238806032,-1.97391,1.0694458208955173,1.690057462686553,-1.5432910447761203,1.1307168656716386,-1.8405489552238796,1.882754776119397,0.925686223880595,1.8929189552238797,-1.6794722388059498,1.0946362686567237,-1.831047462686553,-1.2186119402985318,1.4407185074626734,1.3041695522387937,1.6510305970149142,1.0863979104477581,1.8903304477612064,-2.0113070149253467,0.24615194029850848,-1.7000332835820702
54.22,-1.34839e-05,-3.2338999999999996e-05,-3.10521e-05,-9.007906666666667e-06,-5.315223333333334e-06,4.30813e-06,-8.280563333333334e-06,-3.6926866666666665e-06,-1.9774641176470515,0.8371925882352956,2.037178823529406,-1.9881276470588192,1.0395629411764742,1.625332352941181,-1.5492705882352933,1.11989,-1.8393105882352934,1.8421570588235354,0.9089921764705912,1.8916805882352934,-1.5765200000000097,1.1222605882352934,-1.7189341176470783,-1.523205882352873,1.3179905882353178,1.2324447058823618,1.5805441176470685,1.06846823529412,1.9454729411764669,-1.834574705882379,0.3326970588235034,-1.6409723529411735
54.230000000000004,-1.896700000000954e-05,-3.273060000000954e-05,-3.457689999999284e-05,-2.8534400000238528e-06,-2.5177399999785323e-06,-6.2104199999809185e-06,-2.182039999990459e-06,-4.364080000026237e-06,-2.012116470588225,0.8745730882353163,-1.7572602941161362,-2.006722647058827,1.02724,1.6116463235294134,-1.560757205882362,1.133757205882362,-1.8585616176470663,1.8012819117647088,0.9035418529411824,1.8918591176470514,-1.6176876470588757,1.1107717647058972,-1.5163923529411243,-1.7612280882338232,1.2077480882353104,1.1894382352941026,1.5254576470587968,1.0560319117647088,1.93753294117645,-1.727821470588274,0.5049101911764572,-1.8037688235294473
54.24,-1.7422780000003816e-05,-2.2793920000008586e-05,-3.293201999999618e-05,-1.5005699999997138e-05,-1.980619999994275e-06,-4.733343999977102e-06,-7.418939999996183e-06,9.399593999980918e-07,-1.9459471641790953,0.9505779701492584,2.009439253731337,-2.0097389552238796,1.0316855223880608,1.6265020895522415,-1.5987231343283619,1.1605955223880606,-1.8816755223880608,1.8376607462686634,0.9251448059701508,1.8620779104477585,-1.848424328358232,1.165888656716422,-1.352393731343276,-0.2620870149258767,1.297739402985086,1.1209737313432764,1.4293547761193963,1.081288656716422,1.8719323880596985,0.29076134328406744,0.4246038059701385,-1.868870298507457
54.25,-1.40154e-05,-2.475775e-05,-3.03807e-05,-1.3176185e-05,-3.189135e-06,-8.89601e-06,-1.15816e-05,-2.685585e-06,-1.8526991044776129,0.9538842686567186,1.9496197014925376,-1.9858697014925375,1.0508088059701508,1.6522411940298491,-1.6446623880596987,1.1429779104477642,-1.868809104477613,1.8992938805970099,0.930556,1.8495108955223867,2.0392634328358294,1.175448208955226,-1.3050797014925375,-1.7288947761194224,1.4039241791044723,1.0422679104477641,1.4763725373134169,1.10781,1.8187225373137483,1.6707592537313567,0.3967050298507412,-1.7195804477612062
54.26,-9.970248000001909e-06,-2.9239320000005724e-05,-3.615473999999237e-05,4.666210000003817e-06,-5.53902e-06,-2.7191611999866427e-06,7.1503819999837794e-06,-1.0305940000001908e-05,-1.8679251470587945,0.8912793970588614,1.9560761764705772,-1.9881827941176404,1.0333391176470565,1.6759285294117603,-1.688131911764697,1.084998235294142,-1.8508623529411832,1.9784089705882175,0.9201887941176582,1.8755061764705772,1.7862904411766334,1.1004025000000512,-1.2783633823529656,-1.4614705882353252,1.4931666176470342,0.9967302205882465,1.8086248529410294,1.1223195588235138,-1.9759207352941934,1.5231989705882174,0.4986310735293694,-1.5130111764706506
54.27,-1.69528e-05,-3.45769e-05,-2.97093e-05,-1.37636e-05,4.53193e-06,-7.55322e-06,-3.02129e-06,-1.05745e-05,-2.00613,0.813733,1.99405,-2.00211,1.03932,1.67581,-1.70401,1.03127,-1.84097,1.98599,0.882216,1.9014,1.5469,0.962783,-1.1924,-1.5469,1.47439,0.97084,-1.92959,1.22463,-1.84097,1.69192,0.588144,-1.43813
54.28,-1.1715879999994275e-05,-2.574804000000191e-05,-3.3267719999996186e-05,-7.956058000011449e-06,-2.4506011999885507e-06,3.994808000013357e-06,1.2756580000076329e-06,-2.18204e-06,1.9692179104477432,0.8212488805970222,1.996510895522382,-1.9464265671641694,1.0792443283582138,1.6675695522388085,-1.713984776119404,1.025134776119404,-1.83694,1.9539452238805946,0.8365208208955139,1.8937008955223833,1.6149598507463014,0.8489660597014792,-1.1734634328358318,-1.8317685074627288,1.328702686567146,0.9706596417910471,-1.8101286567164263,1.3816755223880877,-1.8878668656716613,1.8579225373134487,0.6161621194029875,-1.4892373134328527
54.29,-2.9575020000003814e-05,-3.2193499999998566e-05,-3.548333999999809e-05,1.7792000000019082e-06,-2.383457599989505e-06,-1.2420823999980919e-06,-1.2790119999999046e-05,-1.1279440000001432e-05,1.9723102941176331,0.8646802205882229,1.962886323529421,-1.8910870588235449,1.0915122058823514,1.6756322058823514,-1.7237944117647028,1.0349348529411735,-1.83694,1.9612870588235247,0.8102381617647105,1.862176323529421,1.922068235294017,0.8527729264705775,-1.2655632352940882,1.756555735292646,1.2278289705882632,1.001825794117636,-1.8903188235293855,1.4608785294117523,-1.9523480882352817,1.9045314705882275,0.6088191617647105,-1.6611742647058252
54.300000000000004,-8.828870000002862e-06,-3.363700000000429e-05,-3.1790639999982825e-05,-5.337607999979964e-06,-2.195464000000143e-05,-1.1581602000028623e-05,-7.72106600005009e-06,3.155570000001431e-06,0.2736920588206764,0.8764099411764678,1.9487873529411879,-1.8688132352940978,1.09572,1.6745061764705798,-1.7264020588235267,1.03529,-1.82486,2.001987058823555,0.8261737352941376,1.8472520588235266,-1.7692882352939383,0.9266464411765418,-1.0772391176468936,1.5868252941175303,1.2143179411764733,1.0882550000000655,1.9454682352939754,1.466921470588204,-1.9856388235293918,1.9402576470588406,0.5351826764705228,-1.7669202941176896
54.31,-1.39315e-05,-2.29953e-05,-3.27306e-05,-7.21752e-06,5.87472e-06,-5.53902e-06,-1.19173e-05,1.17494e-06,-1.9297782089551874,0.8555201343283452,1.9950732835821157,-1.8642385074626944,1.0994492537313458,1.645383731343268,-1.7129622388059622,1.03529,-1.8360385074626944,2.0520655223880806,0.8568425373134433,1.8524585074626918,-1.5566419402984577,1.3668854477614634,-1.207615970149437,1.4609759701492302,1.2016622388059597,1.244412089552312,1.7210786567163394,1.3191408955223018,-1.9586922388059622,1.9090282089551924,0.47967767164178843,-1.84915179104481
54.32,-4.475993333333334e-07,-2.74713e-05,-3.13878e-05,-7.329419999999999e-06,7.273436666666666e-07,-6.76992e-06,-1.29244e-05,-1.6169499999999998e-05,-1.9062059701492546,0.8015275522388104,0.39466059701537826,-1.8805341791044745,1.0932538805970167,1.6387680597014918,-1.6708758208955259,1.0239298507462717,-1.8538359701492546,2.0471358208955257,0.8199860000000072,1.8425338805970166,-1.42605,1.7468122388059661,-0.5488228358213085,1.6507374626865408,1.0856752238806109,1.4158225373134234,1.5843571641791196,0.9433028208955576,-1.908313283582102,1.823713283582102,0.8211271641790692,-0.35720343283625877
54.33,-1.665063999999666e-05,-3.192493999999666e-05,-3.212633999999809e-05,-1.225300000000477e-05,8.191043999993798e-06,-5.740439999999047e-06,-1.24208199997901e-06,-8.090336000003816e-06,-1.8907323529411846,0.7561506470588398,-2.0357523529411847,-1.9222523529411575,1.055200588235316,1.622253529411781,-1.6374164705882464,0.9537794117647468,-1.8134800000000273,2.0054264705882545,0.7388521764706208,1.818695294117658,-1.454479411764684,1.6867100000000625,1.1746335294121488,-1.4810229411739617,0.82984588235308,1.4272329411765006,1.4350547058824048,0.4298522941178949,-1.6205935294119336,1.5359935294119336,1.2706023529409776,1.6608776470590851
54.34,-3.4207679999994274e-05,-4.5822800000014316e-05,-3.5886179999994275e-05,-7.083237999991413e-06,-1.9705540000011448e-05,2.2491800000114492e-06,-2.440524000001145e-05,2.383459999998569e-06,-1.8401439705882159,0.6662235441175891,-2.000862794117618,-1.9637164705882482,1.026403970588216,1.5448230882352458,-1.6300120588235263,0.8597630882352716,-1.7339223529411538,1.9037679411764319,0.5943643970587494,1.773135588235278,-1.4258092647059082,0.9977330882346697,1.0800194705884638,-1.1764032352937766,0.5642108382352683,1.286591911764648,1.5306694117648283,0.01273678970586626,-1.278301176470556,1.5066698529413343,1.2011670588232333,0.9333410294115169
54.35,-8.56031e-06,-3.10521e-05,-3.23949e-05,-1.51064e-06,2.85344e-06,-8.39246e-07,5.70687e-06,-1.39315e-05,-1.8385655223880661,0.5689638059701254,-1.9265294029850508,-1.9636244776119354,0.9871332089552127,1.448350895522361,-1.6034789552238693,0.8008060746268466,-1.6886704477611811,1.8663429850746236,0.47408653731340417,1.7398374626865576,-1.6518153731344238,0.07515641791024852,1.696130298507665,-0.995488059701534,0.6432187313433297,1.244168507462688,1.6617380597015086,0.12337692537319173,-1.3830622388060307,1.8062758208956038,0.5212846865669569,0.9188317313433682
